"tac,""vendor"",""platform"",""type"""
"00100429,""PROTO"",""Proprietary"",""Phone"""
"00100430,""PROTO"",""Proprietary"",""Phone"""
"00100431,""PROTO"",""Proprietary"",""Phone"""
"00100432,""PROTO"",""Proprietary"",""Phone"""
"00100433,""PROTO"",""Proprietary"",""Phone"""
"00100434,""PROTO"",""Proprietary"",""Phone"""
"00100435,""PROTO"",""Proprietary"",""Phone"""
"00100436,""PROTO"",""Proprietary"",""Phone"""
"00100437,""PROTO"",""Proprietary"",""Phone"""
"00100438,""PROTO"",""Proprietary"",""Phone"""
"00100439,""PROTO"",""Proprietary"",""Phone"""
"00100440,""PROTO"",""Proprietary"",""Phone"""
"00100441,""PROTO"",""Proprietary"",""Phone"""
"00100442,""PROTO"",""Proprietary"",""Phone"""
"00100443,""PROTO"",""Proprietary"",""Phone"""
"00100444,""PROTO"",""Proprietary"",""Phone"""
"00100445,""PROTO"",""Proprietary"",""Phone"""
"00100446,""PROTO"",""Proprietary"",""Phone"""
"00100447,""PROTO"",""Proprietary"",""Phone"""
"00100448,""PROTO"",""Proprietary"",""Phone"""
"00100449,""PROTO"",""Proprietary"",""Phone"""
"00100450,""PROTO"",""Proprietary"",""Phone"""
"00100451,""PROTO"",""Proprietary"",""Phone"""
"00100452,""PROTO"",""Proprietary"",""Phone"""
"00100453,""PROTO"",""Proprietary"",""Phone"""
"00100454,""PROTO"",""Proprietary"",""Phone"""
"00100455,""PROTO"",""Proprietary"",""Phone"""
"00100456,""PROTO"",""Proprietary"",""Phone"""
"00100457,""PROTO"",""Proprietary"",""Phone"""
"00100458,""PROTO"",""Proprietary"",""Phone"""
"00100459,""PROTO"",""Proprietary"",""Phone"""
"00100460,""PROTO"",""Proprietary"",""Phone"""
"00100461,""PROTO"",""Proprietary"",""Phone"""
"00100462,""PROTO"",""Proprietary"",""Phone"""
"00100463,""PROTO"",""Proprietary"",""Phone"""
"00100464,""PROTO"",""Proprietary"",""Phone"""
"00100465,""PROTO"",""Proprietary"",""Phone"""
"00100466,""PROTO"",""Proprietary"",""Phone"""
"00100467,""PROTO"",""Proprietary"",""Phone"""
"00100468,""PROTO"",""Proprietary"",""Phone"""
"00100469,""PROTO"",""Proprietary"",""Phone"""
"00100470,""PROTO"",""Proprietary"",""Phone"""
"00100471,""PROTO"",""Proprietary"",""Phone"""
"00100472,""PROTO"",""Proprietary"",""Phone"""
"00100473,""PROTO"",""Proprietary"",""Phone"""
"00100474,""PROTO"",""Proprietary"",""Phone"""
"00100475,""PROTO"",""Proprietary"",""Phone"""
"00100476,""PROTO"",""Proprietary"",""Phone"""
"00100477,""PROTO"",""Proprietary"",""Phone"""
"00100478,""PROTO"",""Proprietary"",""Phone"""
"00100479,""PROTO"",""Proprietary"",""Phone"""
"00100480,""PROTO"",""Proprietary"",""Phone"""
"00100481,""PROTO"",""Proprietary"",""Phone"""
"00100482,""PROTO"",""Proprietary"",""Phone"""
"00100483,""PROTO"",""Proprietary"",""Phone"""
"00100484,""PROTO"",""Proprietary"",""Phone"""
"00100485,""PROTO"",""Proprietary"",""Phone"""
"00100486,""PROTO"",""Proprietary"",""Phone"""
"00100487,""PROTO"",""Proprietary"",""Phone"""
"00100488,""PROTO"",""Proprietary"",""Phone"""
"00100489,""PROTO"",""Proprietary"",""Phone"""
"00100490,""PROTO"",""Proprietary"",""Phone"""
"00100491,""PROTO"",""Proprietary"",""Phone"""
"00100492,""PROTO"",""Proprietary"",""Phone"""
"00100428,""PROTO"",""Proprietary"",""Phone"""
"00100493,""PROTO"",""Proprietary"",""Phone"""
"00100494,""PROTO"",""Proprietary"",""Phone"""
"00100495,""PROTO"",""Proprietary"",""Phone"""
"00100496,""PROTO"",""Proprietary"",""Phone"""
"00100497,""PROTO"",""Proprietary"",""Phone"""
"00100498,""PROTO"",""Proprietary"",""Phone"""
"00100499,""PROTO"",""Proprietary"",""Phone"""
"00100500,""PROTO"",""Proprietary"",""Phone"""
"00100567,""PROTO"",""Proprietary"",""Phone"""
"00100600,""PROTO"",""Proprietary"",""Phone"""
"00100800,""PROTO"",""Proprietary"",""Phone"""
"00100900,""PROTO"",""Proprietary"",""Phone"""
"00101000,""PROTO"",""Proprietary"",""Phone"""
"00101052,""PROTO"",""Proprietary"",""Phone"""
