Dateparse,avg_mass_apg
30-Jul-18 23:00:00,0.5
31-Jul-18 00:00:00,0.51
31-Jul-18 01:00:00,0.51
31-Jul-18 02:00:00,0.51
31-Jul-18 03:00:00,0.51
31-Jul-18 04:00:00,0.51
31-Jul-18 05:00:00,0.51
31-Jul-18 06:00:00,0.51
31-Jul-18 07:00:00,0.51
31-Jul-18 08:00:00,0.51
31-Jul-18 09:00:00,0.51
31-Jul-18 10:00:00,0.52
31-Jul-18 11:00:00,0.52
31-Jul-18 12:00:00,0.52
31-Jul-18 13:00:00,0.52
31-Jul-18 14:00:00,0.52
31-Jul-18 15:00:00,0.52
31-Jul-18 16:00:00,0.52
31-Jul-18 17:00:00,0.52
31-Jul-18 18:00:00,0.52
31-Jul-18 19:00:00,0.52
31-Jul-18 20:00:00,0.52
31-Jul-18 21:00:00,0.52
31-Jul-18 22:00:00,0.52
31-Jul-18 23:00:00,0.52
01-Aug-18 00:00:00,0.52
01-Aug-18 01:00:00,0.5
01-Aug-18 02:00:00,0.5
01-Aug-18 03:00:00,0.5
01-Aug-18 04:00:00,0.5
01-Aug-18 05:00:00,0.5
01-Aug-18 06:00:00,0.5
01-Aug-18 07:00:00,0.5
01-Aug-18 08:00:00,0.5
01-Aug-18 09:00:00,0.5
01-Aug-18 10:00:00,0.5
01-Aug-18 11:00:00,0.5
01-Aug-18 12:00:00,0.5
01-Aug-18 13:00:00,0.5
01-Aug-18 14:00:00,0.5
01-Aug-18 15:00:00,0.5
01-Aug-18 16:00:00,0.5
01-Aug-18 17:00:00,0.5
01-Aug-18 18:00:00,0.5
01-Aug-18 19:00:00,0.5
01-Aug-18 20:00:00,0.5
01-Aug-18 21:00:00,0.5
01-Aug-18 22:00:00,0.5
01-Aug-18 23:00:00,0.5
02-Aug-18 00:00:00,0.5
02-Aug-18 01:00:00,0.52
02-Aug-18 02:00:00,0.52
02-Aug-18 03:00:00,0.52
02-Aug-18 04:00:00,0.52
02-Aug-18 05:00:00,0.52
02-Aug-18 06:00:00,0.52
02-Aug-18 07:00:00,0.52
02-Aug-18 08:00:00,0.52
02-Aug-18 09:00:00,0.52
02-Aug-18 10:00:00,0.52
02-Aug-18 11:00:00,0.52
02-Aug-18 12:00:00,0.52
02-Aug-18 13:00:00,0.52
02-Aug-18 14:00:00,0.52
02-Aug-18 15:00:00,0.52
02-Aug-18 16:00:00,0.52
02-Aug-18 17:00:00,0.52
02-Aug-18 18:00:00,0.52
02-Aug-18 19:00:00,0.52
02-Aug-18 20:00:00,0.52
02-Aug-18 21:00:00,0.52
02-Aug-18 22:00:00,0.52
02-Aug-18 23:00:00,0.52
03-Aug-18 00:00:00,0.51
03-Aug-18 01:00:00,0.51
03-Aug-18 02:00:00,0.51
03-Aug-18 03:00:00,0.51
03-Aug-18 04:00:00,0.51
03-Aug-18 05:00:00,0.51
03-Aug-18 06:00:00,0.51
03-Aug-18 07:00:00,0.51
03-Aug-18 08:00:00,0.51
03-Aug-18 09:00:00,0.51
03-Aug-18 10:00:00,0.51
03-Aug-18 11:00:00,0.51
03-Aug-18 12:00:00,0.51
03-Aug-18 13:00:00,0.51
03-Aug-18 14:00:00,0.51
03-Aug-18 15:00:00,0.51
