;product_percents
2018-07-28 05:00:00;3.68
2018-07-28 14:00:00;3.49
2018-07-29 05:00:00;3.61
2018-07-29 14:00:00;3.65
2018-07-30 05:00:00;3.41
2018-07-30 14:00:00;3.18
2018-07-31 05:00:00;2.95
2018-07-31 14:00:00;3.2
2018-08-01 05:00:00;4.32
2018-08-01 14:00:00;5.13
2018-08-02 05:00:00;5.04
2018-08-02 14:00:00;5.23
2018-08-03 05:00:00;4.7
2018-08-03 14:00:00;4.72
2018-08-04 05:00:00;3.15
2018-08-04 14:00:00;2.78
2018-08-05 05:00:00;3.17
2018-08-05 14:00:00;3.5
2018-08-06 05:00:00;3.96
2018-08-06 14:00:00;3.57
2018-08-07 05:00:00;3.52
2018-08-07 14:00:00;3.41
2018-08-08 05:00:00;3.37
2018-08-08 14:00:00;3.39
2018-08-09 05:00:00;3.72
2018-08-09 14:00:00;3.76
2018-08-10 05:00:00;4.29
2018-08-10 14:00:00;4.44
2018-08-11 05:00:00;3.57
2018-08-11 14:00:00;3.25
2018-08-12 05:00:00;3.54
2018-08-12 14:00:00;3.27
2018-08-13 05:00:00;3.95
2018-08-13 14:00:00;3.68
2018-08-14 05:00:00;3.43
2018-08-14 14:00:00;3.52
2018-08-15 05:00:00;3.84
2018-08-15 14:00:00;3.76
2018-08-16 05:00:00;3.78
2018-08-16 14:00:00;3.53
2018-08-17 05:00:00;3.82
2018-08-17 14:00:00;4.99
2018-08-18 05:00:00;4.27
2018-08-18 14:00:00;4.35
2018-08-19 05:00:00;4.85
2018-08-19 14:00:00;3.85
2018-08-20 05:00:00;4.99
2018-08-20 14:00:00;3.48
2018-08-21 05:00:00;3.66
2018-08-21 14:00:00;4.03
2018-08-22 05:00:00;3.97
2018-08-22 14:00:00;3.48
2018-08-23 05:00:00;3.14
2018-08-23 14:00:00;3.11
2018-08-24 05:00:00;3.7
2018-08-24 14:00:00;4.24
2018-08-25 05:00:00;3.05
2018-08-25 14:00:00;3.79
2018-08-26 05:00:00;3.91
2018-08-26 14:00:00;3.55
2018-08-27 05:00:00;3.84
2018-08-27 14:00:00;3.8
2018-08-28 05:00:00;3.5
2018-08-28 14:00:00;3.82
2018-08-29 05:00:00;3.46
2018-08-29 14:00:00;3.19
2018-08-30 05:00:00;3.22
2018-08-30 14:00:00;3.39
2018-08-31 05:00:00;3.64
2018-08-31 14:00:00;3.98
2018-09-01 05:00:00;2.73
2018-09-01 14:00:00;3.07
2018-09-02 05:00:00;4.06
2018-09-02 14:00:00;3.28
2018-09-03 05:00:00;3.2
2018-09-03 14:00:00;3.01
2018-09-04 05:00:00;3.51
2018-09-04 14:00:00;3.72
2018-09-05 05:00:00;3.67
2018-09-05 14:00:00;3.69
2018-09-06 05:00:00;2.7
2018-09-06 14:00:00;2.43
2018-09-07 05:00:00;3.57
2018-09-07 14:00:00;3.68
2018-09-08 05:00:00;3.3
2018-09-08 14:00:00;3.02
2018-09-09 05:00:00;3.02
2018-09-09 14:00:00;2.72
2018-09-10 05:00:00;3.32
2018-09-10 14:00:00;2.89
2018-09-11 05:00:00;3.31
2018-09-11 14:00:00;3.12
2018-09-12 05:00:00;3.32
2018-09-12 14:00:00;3.02
2018-09-13 05:00:00;3.03
2018-09-13 14:00:00;3.32
2018-09-14 05:00:00;3.04
2018-09-14 14:00:00;3.12
2018-09-15 05:00:00;3.08
2018-09-15 14:00:00;2.99
2018-09-16 05:00:00;3.32
2018-09-16 14:00:00;3.03
2018-09-17 05:00:00;3.14
2018-09-17 14:00:00;2.99
2018-09-18 05:00:00;3.44
2018-09-18 14:00:00;3.56
2018-09-19 05:00:00;3.7
2018-09-19 14:00:00;3.39
2018-09-20 05:00:00;3.25
2018-09-20 14:00:00;3.92
2018-09-21 05:00:00;2.91
2018-09-21 14:00:00;3.15
2018-09-22 05:00:00;3.47
2018-09-22 14:00:00;3.47
2018-09-23 05:00:00;3.48
2018-09-23 14:00:00;3.93
2018-09-24 05:00:00;3.05
2018-09-24 14:00:00;3.4
2018-09-25 05:00:00;3.09
2018-09-25 14:00:00;3.0
2018-09-26 05:00:00;2.92
2018-09-26 14:00:00;3.12
2018-09-27 05:00:00;3.16
2018-09-27 14:00:00;3.73
2018-09-28 05:00:00;3.7
2018-09-28 14:00:00;3.38
2018-09-29 05:00:00;3.39
2018-09-29 14:00:00;3.37
2018-09-30 05:00:00;3.61
2018-09-30 14:00:00;3.59
2018-10-01 05:00:00;3.54
2018-10-01 14:00:00;
2018-10-02 05:00:00;
2018-10-02 14:00:00;
2018-10-03 05:00:00;
2018-10-03 14:00:00;
2018-10-04 05:00:00;
2018-10-04 14:00:00;
2018-10-05 05:00:00;
2018-10-05 14:00:00;
2018-10-06 05:00:00;
2018-10-06 14:00:00;
2018-10-07 05:00:00;
2018-10-07 14:00:00;
2018-10-08 05:00:00;
2018-10-08 14:00:00;
2018-10-09 05:00:00;
2018-10-09 14:00:00;
2018-10-10 05:00:00;
2018-10-10 14:00:00;
2018-10-11 05:00:00;
2018-10-11 14:00:00;
2018-10-12 05:00:00;
2018-10-12 14:00:00;
2018-10-13 05:00:00;
2018-10-13 14:00:00;
2018-10-14 05:00:00;
2018-10-14 14:00:00;
2018-10-15 05:00:00;
2018-10-15 14:00:00;
2018-10-16 05:00:00;
2018-10-16 14:00:00;
2018-10-17 05:00:00;
2018-10-17 14:00:00;
2018-10-18 05:00:00;
2018-10-18 14:00:00;
