code;code_description
5944;Магазины по продаже часов, ювелирных изделий и изделий из серебра
5621;Готовые сумочные изделия
5697;Услуги по переделке, починке и пошиву одежды
7995;Транзакции по азартным играм
5137;Мужская, женская и детская спец-одежда
5964;Прямой маркетинг — торговля через каталог
7210;Таймшер
5949;Магазины ткани, ниток рукоделия, шитья
5199;Товары недлительного пользования, не классифицированные ранее
5072;Оборудование и сопутствующие материалы для технического обеспечения
5921;Магазины с продажей спиртных напитков на вынос (пиво, вино и ликер)
6051;Не-финансовые институты — иностранная валюта, денежные переводы (непередаваемые), дорожные чеки, квази-кэш
4812;Телекоммуникационное оборудование, включая продажу телефонов
7512;Прокат автомобилей
5993;Табачные магазины
4215;Услуги курьера — по воздуху и на земле, агентство по отправке грузов
5122;Лекарства, их распространители, аптеки
5942;Книжные магазины
7221;Фотостудии
5733;Продажа музыкальных инструментов, фортепиано, нот
5131;Штучные товары, галантерея и другие текстильные товары
5261;Садовые принадлежности (в том числе для ухода за газонами) в розницу
5947;Магазины открыток, подарков, новинок и сувениров
5722;Бытовое оборудование
8062;Больницы
5441;Кондитерские
5094;Драгоценные камни и металлы, часы и ювелирные изделия
7299;Иной сервис
5599;Продажа снегоходов
7298;Центры здоровья
7699;Общий ремонт
7273;Службы знакомств
5969;Прямой маркетинг — другие торговые точки прямого маркетинга (нигде более не классифицированные)
5511;Легковой и грузовой транспорт — продажа, сервис, ремонт, запчасти и лизинг
6300;Продажа страхования, гарантированное размещение, премии
7338;Услуги копировальных центров
7372;Программирование, обработка данных, интегрированные системы, дизайн
7278;Сервисы по покупке/продаже
5532;Автошины
5950;Магазины хрусталя и изделий из стекла
7395;Фотостудии, фотолаборатории
8398;Организации благотворительные и общественные службы
6211;Ценные бумаги: брокеры/дилеры
7829;Производство и дистрибуция видеофильмов
5651;Одежда для всей семьи
5193;Оборудование для выращивания растений, инвентарь для питомников и цветы
5968;Прямой маркетинг — торговые точки подписки
5912;Аптеки
5735;Магазины звукозаписи
5816;Цифровые товары, игры
5541;Станции техобслуживания
7011;Отели, мотели, базы отдыха, сервисы бронирования
5462;Булочные
5172;Нефть и нефтепродукты
7531;Станции технического обслуживания для автомобильного транспорта
5943;Магазины офисных, школьных принадлежностей, канцтоваров
5300;Оптовики
4789;Услуги по транспортировке — нигде более не классифицированные
4131;Автобусные линии
7538;СТО общего назначения
8220;Колледжи, университеты, профессиональные школы и младшие колледжи
7932;Билльярд-клубы
4722;Туристические агентства и организаторы экскурсий
5734;Продажа компьютерного программного обеспечения
8299;Образовательные услуги
8071;Зубные и медицинские лаборатории
7399;Бизнес-сервис
5948;Магазины кожаных изделий, дорожных принадлежностей
7311;Рекламные услуги
6011;Финансовые институты — снятие наличности автоматически
7933;Боулинг-клубы
9311;Налоговые платежи
5977;Магазины косметики
5085;Промышленное оборудование — нигде более не классифицированное
8699;Организации, членства, нигде ранее не классифицируемые
4112;Пассажирские железные перевозки
8011;Доктора, нигде ранее не классифицируемые
4814;Звонки с использованием телефонов, считывающих магнитную ленту
5499;Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов
5965;Прямой маркетинг — комбинированный каталог и торговцы в розницу
4900;Коммунальные услуги — электричество, газ, санитария, вода
5970;Магазины художественных и ремесленных изделий
5811;Поставщики провизии
5533;Автозапчасти и аксессуары
1711;Генеральные подрядчики по вентиляции, теплоснабжению, и водопроводу
7216;Химчистки
5812;Места общественного питания, рестораны
5251;Скобяные товары в розницу
7629;Ремонт бытовой техники, ремонт электроприборы
7996;Луна-парки, карнавалы, цирки, предсказатели будущего
5399;Различные товары общего назначения
7542;Автомойки
5941;Магазины спорттоваров
8043;Оптика, оптические товары и очки
4511;Авиалинии, авиакомпании, нигде более не классифицированные
5065;Электрические части и оборудование
3351;Агентства по аренде автомобилей
5231;Розничная продажа стекла, красок и обоев
6536;Денежные переводы MasterCard MoneySend
7375;Информационные провайдеры
5074;Оборудование для водопровода и отопительной системы
7523;Паркинги и гаражи
5099;Товары длительного пользования — нигде более не классифицированные
4411;Круизные линии
5111;Канцелярия, офисные сопутствующие товары, бумага для печатания и письма
7832;Кинотеатры
1799;Подрядчики, специализированная торговля — нигде более не классифицированные
5992;Флористика
9399;Правительственные услуги, нигде ранее не классифицируемые
7999;Услуги отдыха, нигде ранее не классифицируемые
5814;Рестораны, закусочные
1731;Подрядчики по электричеству
4111;Транспортировка — пригородные и локальные сезонные транспортные средства, включая электрички
5971;Галереи и художественные посредники
3501;Жилье — отели, мотели, курорты
5631;Аксессуары для женщин
8641;Ассоциации — гражданские, социальные и братские
5422;Продажа свежего и мороженого мяса
5967;Прямой маркетинг — входящий телемаркетинг
5945;Магазины игрушек
7997;Клубы — сельские клубы, членство(спортивный, отдых, спорт), частные поля для гольфа
4121;Лимузины и такси
4899;Кабельные и другие платные телевизионные услуги
5169;Химикалии и смежные вещества, не классифицированные ранее
5571;Продажа мотоциклов
5691;Магазины мужской и женской одежды
5931;Магазины second hand, магазины б/у товаров, комиссионки
5655;Спортивная одежда, одежда для верховой езды и езды на мотоцикле
8099;Практикующие врачи, медицинские услуги, нигде ранее не классифицируемые
