type;type_description
8001;Установление расх. лимита по карте
2411;Перевод с карты на счет др.лица в одном тер. банке через АТМ
4035;н/д(нет данных)
3001;Комиссия за обслуживание ссудного счета
2420;Перевод с карты на счет физ.лица в другом тер. банке через ВСП(Внутреннее Структурное Подразделение)
1210;Покупка. POS  Зарубеж.
7050;Пополнение счета на сумму причисленных процентов
8140;Операции по утраченной карте
6000;Возврат  покупки. 
1200;Покупка. Зарубеж. 
6210;Возврат покупки.POS Зарубеж. 
4210;Плата за получение наличных в АТМ. Зарубеж.
8220;Плата за обработку счета банковской карты клиента при осущ. платежной системой экстренной выдачи наличных денежных средств
2321;Платеж с карты через ВСП
2432;Перевод с карты на счет физ.лица в другом банке через приложение банка
2440;н/д
2360;н/д
8035;Списание. Счет закрыт.
4083;Оплата услуг банка по поручению автомат.
1310;н/д
7010;Взнос наличных через АТМ (в своем тер.банке)
7070;Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя)
2410;Перевод с карты на счет др.лица в одном тер. банке через ВСП
2990;Списание по требованию
7081;Перевод/пополнение со счета на карту
2341;Списание с карты по операции “перевода с карты на карту” через POS (из одного ТБ в другой ТБ)
4051;Плата за перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
2421;Перевод с карты на счет физ.лица в другом тер. банке через АТМ
4000;Плата за получение наличных в офисе банка
6100;Возврат  покупки.
3200;Плата за предоставление услуг посредством мобильной связи
2400;Перевод средств с карты на счет клиента в ВСП
3120;Плата за досрочный перевыпуск карты
2900;Выдача наличных средств без предъявления карты
4061;Плата за перевод на карту (с карты) через POS 
2353;Погашение кредита с карты через мобильное приложение банка
4100;Плата за получение наличных. 
7000;Пополнение счета в подразд. 
3210;Плата за предоставление отчета по счету карты почтой
4600;н/д
7034;Перевод на карту/ с карты через АТМ (без взимания комиссии с отправителя) по счету в овердрафте
999999;XXX
4080;Оплата услуг банка через ВСП
7075;Перевод с карты на карту в овердрафте через Мобильный банк (со взиманием комиссии)
2370;Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии)
2330;Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка)
2350;Погашение кредита (в пределах одного филиала)
2992;Списание средств для погашения задолженности по др.карте Держателя
8230;Плата за предоставление по запросу клиента документов по операции с картой
2340;Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного тер.банка)
7060;Пополнение счета для погашения задолженности по карте
7101;Межфилиальные перечисления процентов по счету карты в овердрафте
1030;Оплата услуги. Банкоматы
4081;Оплата услуг банка через АТМ
4090;н/д
8210;Плата за приост. действия карты
1000;Покупка.
7100;Межфилиальные перечисления процентов
4021;Плата за получение наличных через POS в банке (в других ТБ)
2331;Списание с карты по операции “перевода с карты на карту” через АТМ (из одного ТБ в другой ТБ)
3810;н/д
4010;Плата за получение наличных в АТМ банка
7014;Взнос наличных через АТМ (в своем ТБ) по счету в овердрафте
4045;н/д
2351;Погашение кредита с карты через ВСП
2210;Наличные.  АТМ Зарубеж. банк
7045;Перевод на карту/ с карты через POS (со взиманием комиссии с отправителя) по счету в овердрафте
2322;Платеж с карты через АТМ
7084;н/д
7011;Взнос наличных через АТМ
7090;Межфилиальные пополнения зарплатных карт
4400;Плата за получение баланса в чужом АТМ
4030;Плата за взнос наличных через АТМ (в своем тер.банке)
2901;Безналичное списание денежных средств со счета без предъявления карты
2011;Выдача наличных в АТМ банка (в других ТБ)
7020;Взнос наличных через POS
2352;Погашение кредита с карты через АТМ
4041;Плата за взнос наличных через POS (в другом тер.банке)
2402;Перевод средств с карты на счет клиента через мобильное приложение
