Число бракованных листов,Скорость прокатки,Марка стали
3,3.8,A
3,3.8,B
3,4.8,B
4,4.4,B
6,5.0,B
5,4.4,B
3,4.0,A
2,5.4,B
1,4.6,A
3,4.7,A
2,3.6,A
4,3.9,A
7,4.4,B
4,4.8,A
0,4.8,A
3,4.8,B
3,4.2,A
3,5.0,A
2,4.7,B
1,4.0,A
7,5.7,A
2,4.9,A
2,4.3,A
5,4.7,A
8,4.9,A
5,4.6,A
4,5.0,B
2,5.7,A
6,4.7,A
3,4.1,A
2,5.5,B
3,4.2,A
3,5.4,B
3,4.5,B
3,4.5,A
3,5.2,A
1,5.2,B
4,4.8,A
4,5.0,A
3,4.1,A
8,4.1,A
0,4.7,A
6,5.8,B
1,4.6,A
2,4.7,A
1,5.2,B
3,4.3,B
6,4.5,A
3,4.6,B
4,5.2,A
2,4.7,A
3,4.6,A
5,4.8,A
7,4.9,A
5,4.1,B
3,3.3,A
3,4.0,A
1,4.5,B
5,4.5,A
3,4.2,A
6,4.6,B
2,4.1,B
3,5.9,B
2,4.9,B
3,4.7,A
2,3.9,A
6,4.4,B
4,5.0,B
0,4.3,A
3,4.7,A
1,4.1,A
3,5.3,A
2,4.4,B
3,4.7,B
4,3.5,B
1,4.4,A
4,5.1,B
4,5.4,A
2,5.3,B
2,5.3,A
2,5.0,A
0,4.3,A
5,4.5,B
3,3.9,A
6,5.6,A
2,4.3,B
1,4.3,B
2,3.2,A
1,5.1,B
4,3.8,B
2,5.4,A
1,3.9,A
4,5.2,A
2,2.5,B
2,3.5,B
4,4.6,B
1,3.3,A
2,6.5,B
2,3.9,A
3,5.5,A
0,3.2,A
2,4.1,A
3,4.7,A
4,4.1,A
2,4.9,A
1,4.0,A
3,4.6,A
4,3.6,B
5,5.0,B
4,4.1,B
1,2.9,B
4,3.4,A
2,4.4,A
4,5.3,A
8,4.0,A
1,5.5,B
3,5.3,A
4,5.7,A
3,4.7,A
2,4.0,A
8,3.8,A
3,4.2,B
3,4.3,B
4,4.1,B
2,3.9,A
2,3.5,A
7,5.1,A
6,4.5,B
3,5.0,B
2,3.6,A
4,3.1,B
3,4.6,A
2,3.6,A
4,3.7,B
4,4.1,B
3,5.2,A
5,3.7,A
3,4.8,A
7,4.3,A
6,4.0,B
2,5.1,A
1,3.4,A
1,5.6,A
2,4.0,A
8,4.7,B
1,3.7,B
5,4.6,A
2,4.8,B
6,4.1,B
4,5.3,A
3,5.1,A
3,5.5,B
3,4.6,B
5,3.7,A
1,5.4,B
3,3.6,A
2,4.2,A
3,4.6,B
3,4.1,A
4,4.0,B
4,5.2,A
3,3.9,B
4,3.2,A
2,4.8,A
6,4.6,A
5,4.5,A
4,5.1,A
7,2.8,A
3,4.4,B
5,4.4,B
3,4.7,A
7,3.9,A
5,5.1,B
5,3.5,A
7,4.8,B
3,5.0,B
4,4.1,A
3,4.5,B
4,3.0,B
5,5.0,B
1,5.4,B
2,4.1,A
1,5.8,A
4,3.1,A
4,5.9,A
3,3.9,B
7,4.9,A
6,5.4,B
3,5.5,B
0,4.6,A
2,3.6,B
2,5.8,A
0,4.0,A
4,5.0,A
4,4.8,A
1,4.3,A
4,4.9,B
5,3.8,A
6,4.8,A
1,3.9,B
6,4.1,B
4,4.6,B
4,4.3,A
2,4.4,A
1,4.7,A
1,3.0,B
4,3.2,A
2,4.8,A
4,3.4,A
4,4.6,B
2,4.6,B
2,4.5,B
4,4.2,A
7,4.6,B
1,4.3,A
1,5.0,B
3,6.0,B
2,4.2,A
2,4.4,A
4,6.2,A
2,4.5,B
1,4.6,B
4,6.0,B
4,4.2,B
4,4.8,B
5,4.5,B
1,4.0,A
4,4.4,B
0,5.7,A
5,4.6,A
4,3.5,B
0,5.2,B
1,4.7,A
3,3.4,A
2,5.5,A
3,5.0,B
5,4.7,A
